,Pure_TabPFN,Pure_TabPFN,BaselineHead,BaselineHead,LargeBaselineHead,LargeBaselineHead,KGHead_real,KGHead_real,KGHead_permuted,KGHead_permuted,KGHead_random,KGHead_random,KG_real_minus_Baseline,KG_real_minus_Baseline,KG_real_minus_KG_permuted,KG_real_minus_KG_permuted,TabPFN_Time,Baseline_Time,LargeBaseline_Time,KGHead_Time,KGHead_permuted_Time,KGHead_random_Time,Repr_Extract_Time
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean,mean,mean,mean,mean
Experiment,,,,,,,,,,,,,,,,,,,,,,,
Tr100_Ft200_Cp2,0.9097,0.0237,0.9337,0.0198,0.9331,0.0192,0.9418,0.0172,0.9397,0.0182,0.9312,0.0182,0.0081,0.0104,0.0021,0.0076,2.533,0.2554,0.4446,1.3933,1.3822,1.3727,5.8566
Tr100_Ft200_Cp20,0.7698,0.0328,0.7577,0.0406,0.7539,0.0401,0.7486,0.0335,0.7425,0.0369,0.7432,0.0261,-0.0091,0.0291,0.0061,0.0322,2.4932,0.2527,0.4302,1.3384,1.3285,1.3342,5.7295
Tr100_Ft200_Cp6,0.864,0.0283,0.8785,0.0231,0.8736,0.0236,0.877,0.0295,0.8707,0.0202,0.8711,0.0253,-0.0015,0.0159,0.0063,0.0209,2.5493,0.2637,0.4709,1.4534,1.435,1.3893,5.8002
Tr100_Ft500_Cp2,0.9093,0.0215,0.9435,0.0184,0.9418,0.0204,0.9499,0.0161,0.95,0.0139,0.9434,0.016,0.0064,0.0137,-0.0001,0.0097,6.3991,0.2757,0.4807,2.1883,2.1319,2.1102,14.8814
Tr100_Ft500_Cp20,0.7787,0.0267,0.7598,0.0379,0.7574,0.0386,0.7447,0.0371,0.7434,0.0471,0.748,0.0452,-0.0151,0.0385,0.0013,0.0271,5.4764,0.231,0.4248,2.0855,2.0386,2.0179,12.8506
Tr100_Ft500_Cp6,0.8711,0.02,0.8827,0.0197,0.8819,0.0207,0.8802,0.0299,0.8868,0.0215,0.8781,0.0212,-0.0025,0.0212,-0.0066,0.0198,5.7077,0.2459,0.4335,2.0447,2.0016,1.9689,13.3066
Tr100_Ft50_Cp2,0.9222,0.0185,0.9199,0.0181,0.9184,0.0194,0.9233,0.0179,0.9214,0.0205,0.9179,0.0238,0.0034,0.0114,0.0019,0.013,0.6522,0.2686,0.5012,0.8598,0.8326,0.8019,2.0435
Tr100_Ft50_Cp20,0.7733,0.0277,0.7653,0.0327,0.758,0.039,0.735,0.0536,0.7371,0.0561,0.7177,0.0607,-0.0303,0.0399,-0.0021,0.0283,0.704,0.2892,0.5321,0.9125,0.8284,0.8153,2.1116
Tr100_Ft50_Cp6,0.8867,0.0233,0.8662,0.0238,0.861,0.0231,0.8601,0.0295,0.8637,0.025,0.8576,0.0318,-0.0061,0.0183,-0.0036,0.0187,0.7034,0.2756,0.5194,0.8818,0.8389,0.8132,2.1332
Tr400_Ft200_Cp2,0.9556,0.0092,0.967,0.0061,0.9657,0.0064,0.9677,0.0068,0.9674,0.0084,0.9637,0.0083,0.0007,0.0076,0.0003,0.0084,4.4968,0.3554,0.593,3.6577,3.6423,3.6308,14.5578
Tr400_Ft200_Cp20,0.8853,0.0153,0.8838,0.0164,0.8808,0.0187,0.8655,0.0224,0.8704,0.0182,0.8684,0.0188,-0.0183,0.0177,-0.0049,0.0124,4.7097,0.3807,0.6183,3.7244,3.7112,3.6927,14.8621
Tr400_Ft200_Cp6,0.9301,0.014,0.9399,0.0079,0.936,0.0092,0.9369,0.0126,0.938,0.012,0.9353,0.0146,-0.003,0.0126,-0.0011,0.0119,4.5688,0.3608,0.6017,3.691,3.6673,3.6759,14.688
Tr400_Ft500_Cp2,0.9392,0.0148,0.9695,0.011,0.9698,0.0106,0.971,0.0108,0.9756,0.0091,0.9677,0.0098,0.0015,0.0082,-0.0046,0.0085,11.7212,0.3843,0.6181,7.0386,6.9382,6.9211,37.8794
Tr400_Ft500_Cp20,0.8755,0.0221,0.8937,0.0212,0.8918,0.0185,0.8806,0.019,0.8838,0.0172,0.8799,0.0186,-0.0131,0.0177,-0.0032,0.0157,11.4441,0.3957,0.6355,7.088,6.9872,6.9233,37.2479
Tr400_Ft500_Cp6,0.9193,0.0153,0.9475,0.0129,0.9455,0.0134,0.947,0.0126,0.9476,0.0137,0.9455,0.013,-0.0005,0.0103,-0.0006,0.0081,12.0323,0.419,0.6733,7.3319,7.2615,7.2951,38.6376
Tr400_Ft50_Cp2,0.9601,0.008,0.9571,0.0109,0.9563,0.0113,0.957,0.0135,0.9551,0.0126,0.9558,0.0119,-0.0001,0.0116,0.0019,0.008,1.3568,0.5536,0.7905,1.8834,1.7166,1.6547,4.0789
Tr400_Ft50_Cp20,0.8986,0.0137,0.8921,0.0162,0.8846,0.0176,0.8774,0.0156,0.8728,0.0184,0.8772,0.0193,-0.0147,0.0167,0.0046,0.0154,1.467,0.5508,0.8019,1.9165,1.7575,1.7006,4.2913
Tr400_Ft50_Cp6,0.9411,0.0135,0.9336,0.0113,0.9333,0.0101,0.9249,0.0178,0.9267,0.0141,0.9257,0.0144,-0.0087,0.0142,-0.0018,0.0104,1.443,0.5457,0.7925,1.8776,1.6964,1.6939,4.2266
Tr40_Ft200_Cp2,0.8985,0.0251,0.8905,0.0403,0.8911,0.0408,0.9008,0.0244,0.9025,0.0287,0.8862,0.0304,0.0103,0.0349,-0.0017,0.025,2.2406,0.1992,0.3468,0.8485,0.8123,0.8066,4.5973
Tr40_Ft200_Cp20,0.6799,0.0438,0.6267,0.0757,0.6298,0.0787,0.6297,0.0653,0.6316,0.066,0.6243,0.0688,0.003,0.0529,-0.0019,0.0418,2.1443,0.2037,0.3774,0.8937,0.8442,0.8188,4.4081
Tr40_Ft200_Cp6,0.801,0.0302,0.7812,0.0507,0.7784,0.0533,0.7904,0.0331,0.7843,0.0374,0.7775,0.0365,0.0092,0.0447,0.0061,0.0262,2.1359,0.2001,0.3855,0.9039,0.8676,0.8506,4.3215
Tr40_Ft500_Cp2,0.8998,0.0273,0.884,0.0436,0.8839,0.0456,0.8977,0.0376,0.8978,0.0341,0.8904,0.0299,0.0137,0.0264,-0.0001,0.024,5.0725,0.192,0.3305,1.258,1.2221,1.2131,9.9762
Tr40_Ft500_Cp20,0.6748,0.0495,0.6381,0.0487,0.6373,0.0452,0.6243,0.0552,0.6304,0.0559,0.636,0.0546,-0.0138,0.0609,-0.0061,0.0509,5.1288,0.1915,0.3296,1.2632,1.227,1.2355,10.0188
Tr40_Ft500_Cp6,0.8072,0.043,0.7753,0.0557,0.7699,0.0553,0.7932,0.0416,0.8002,0.048,0.7786,0.0498,0.0179,0.03,-0.007,0.0246,5.0712,0.189,0.309,1.2047,1.206,1.2083,9.784
Tr40_Ft50_Cp2,0.8806,0.0311,0.8697,0.0367,0.8661,0.0372,0.8781,0.037,0.8706,0.0394,0.858,0.0437,0.0084,0.0166,0.0075,0.0149,0.6382,0.1945,0.3354,0.5744,0.5673,0.5572,1.4961
Tr40_Ft50_Cp20,0.6884,0.0398,0.6328,0.065,0.6264,0.0638,0.609,0.0613,0.616,0.0642,0.6125,0.0577,-0.0238,0.0397,-0.007,0.0307,0.6672,0.2186,0.392,0.6214,0.6122,0.6152,1.6797
Tr40_Ft50_Cp6,0.7829,0.0407,0.7689,0.0405,0.768,0.0413,0.7528,0.0469,0.756,0.0463,0.7445,0.0453,-0.0161,0.0299,-0.0032,0.0269,0.6726,0.2065,0.3588,0.586,0.5651,0.5586,1.5741
